區議會分區／主要區域,District Council District/Broad Area,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
中西區,Central and Western,236000,223600,231300,232700,230700,226200,223800,222300,225000,223900,222600
灣仔,Wan Chai,166700,158100,162600,161900,159500,156000,153300,150500,148200,146600,145700
東區,Eastern,529600,518200,522100,516000,507200,500100,491700,484100,479000,476500,467000
南區,Southern,263300,257000,261800,261400,259600,258800,262500,261600,263900,266900,267200
深水埗,Sham Shui Po,431100,432500,439200,442700,439600,432200,433400,439100,440800,441300,438600
九龍城,Kowloon City,410600,403500,415100,422500,437200,470400,475100,488600,490000,489000,460100
黃大仙,Wong Tai Sin,406800,404400,406800,409200,405800,404800,401300,404400,401700,398700,396600
觀塘,Kwun Tong,673200,669000,670800,668500,675400,682500,682700,681800,693100,685400,690700
油尖旺,Yau Tsim Mong,310600,296300,303600,303800,300100,291700,286400,281700,276400,272500,267100
葵青,Kwai Tsing,495800,490900,498000,499100,494600,488700,486600,484000,483900,484100,483000
荃灣,Tsuen Wan,320100,311200,312800,309200,303300,296100,292800,296700,296500,298800,295800
屯門,Tuen Mun,506900,508800,539300,541600,554900,557600,573800,577700,577500,577300,586200
元朗,Yuen Long,668100,658200,673200,677300,680900,685000,688200,695700,706500,729800,760600
北區,North,309600,335500,341800,344900,347400,352000,378600,397000,404200,417100,435600
大埔,Tai Po,316500,313900,316500,331800,335900,348900,350400,346500,341200,340600,343200
沙田,Sha Tin,692800,688600,702600,702800,695300,687400,683700,676500,671800,664500,667700
西貢,Sai Kung,489000,492900,504000,503100,509700,527200,533500,535000,529500,542500,538800
離島,Islands,185300,182300,195700,197300,221700,229900,239800,260100,301000,320700,352500
香港島,Hong Kong Island,1195500,1156900,1177800,1172000,1157000,1141200,1131400,1118400,1116000,1113800,1102500
九龍,Kowloon,2232300,2205800,2235300,2246600,2258000,2281600,2278900,2295700,2301900,2286900,2253200
新界,New Territories,3984100,3982300,4083800,4107100,4143600,4172900,4227400,4269300,4312200,4375300,4463500
   新市鎮,   New Towns,3557600,3538300,3623500,3639600,3666100,3661500,3701700,3733600,3764500,3803300,3857100
   其他地區,   Other Areas,426500,444000,460300,467500,477500,511400,525700,535800,547700,571900,606400
陸上總計,Land Total,7411900,7345000,7497000,7525700,7558700,7595800,7637600,7683400,7730100,7776000,7819200
加 : 水上人口,Plus : Marine Population,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
全港,Whole Territory,7413100,7346100,7498100,7526800,7559800,7596800,7638700,7684500,7731100,7777100,7820200
